iter	Logloss
0	0.6726045417
1	0.6551839236
2	0.6404122363
3	0.6288517098
4	0.6170181132
5	0.6073949768
6	0.5961805799
7	0.5839985938
8	0.571286854
9	0.5597337517
10	0.5195130811
11	0.485064095
12	0.4571118957
13	0.4369119469
14	0.420817312
15	0.4063406348
16	0.3942378541
17	0.3819255652
18	0.3699280604
19	0.3640159614
20	0.3587333893
21	0.3549144897
22	0.3514140188
23	0.348863452
24	0.341945661
25	0.3368386263
26	0.3268851448
27	0.3236790991
28	0.3123852558
29	0.303296293
30	0.2945405947
31	0.2848671934
32	0.278648732
33	0.2731784808
34	0.2699765001
35	0.2642315712
36	0.2624190895
37	0.2580280178
38	0.2565475049
39	0.2556488027
40	0.2525747438
41	0.2512845173
42	0.2501292752
43	0.2482367955
44	0.2471786775
45	0.2438662059
46	0.2404669199
47	0.2386334674
48	0.2376008773
49	0.2364298038
50	0.2337804339
51	0.2310469559
52	0.229575724
53	0.2276269724
54	0.2259433314
55	0.2244772436
56	0.2234105735
57	0.2222057953
58	0.22085036
59	0.2184874605
60	0.2158587184
61	0.214578242
62	0.2136530715
63	0.2116931576
64	0.2110038277
65	0.2100156269
66	0.2082721538
67	0.2076805909
68	0.2064205162
69	0.2040861552
70	0.2037275233
71	0.2029918082
72	0.2019509244
73	0.2001199591
74	0.1996509207
75	0.1990644705
76	0.1976582148
77	0.1970307705
78	0.1965277619
79	0.1957863288
80	0.1944449766
81	0.1939828862
82	0.1922779191
83	0.1915615291
84	0.18980142
85	0.189152765
86	0.1885217677
87	0.1872607229
88	0.18662359
89	0.1863476916
90	0.1852233023
91	0.184764362
92	0.1845459413
93	0.1836655744
94	0.1823565194
95	0.1818794059
96	0.1816644941
97	0.1810039327
98	0.1805292931
99	0.1797465697
100	0.1793931181
101	0.1788772845
102	0.178119787
103	0.1780098094
104	0.1779851672
105	0.1776847909
106	0.1776349475
107	0.1767946746
108	0.1765927414
109	0.1760901209
110	0.1757089237
111	0.1751347036
112	0.1750029427
113	0.174295703
114	0.1742886987
115	0.1740059981
116	0.1739566206
117	0.173934077
118	0.1734653166
119	0.1731849078
120	0.1726753419
121	0.1721647081
122	0.1721272087
123	0.1715531651
124	0.1714821052
125	0.1714749916
126	0.1714728189
127	0.171180492
128	0.1710878708
129	0.1710878632
130	0.1707494462
131	0.1707454857
132	0.1705559964
133	0.170527508
134	0.1703995659
135	0.1703963651
136	0.1703894343
137	0.1699358443
138	0.1695731282
139	0.1688672004
140	0.1682930196
141	0.1677754755
142	0.1675645965
143	0.1669162079
144	0.1667511642
145	0.1667511616
146	0.1664534453
147	0.1657623204
148	0.1654652229
149	0.1649295111
150	0.1646161892
151	0.1641836881
152	0.1638714855
153	0.1638363506
154	0.163446278
155	0.1633967865
156	0.162667178
157	0.1625748379
158	0.1625714055
159	0.1624060553
160	0.161875298
161	0.1617678785
162	0.1613245592
163	0.1610441364
164	0.1608790126
165	0.1608748062
166	0.1603035476
167	0.1602570078
168	0.1599804842
169	0.1591789827
170	0.1591201415
171	0.1588773514
172	0.1588737405
173	0.1585249829
174	0.1581382663
175	0.1580862466
176	0.1577899266
177	0.1575411048
178	0.1573897648
179	0.1572233916
180	0.1569290612
181	0.15692478
182	0.1566128605
183	0.1566088298
184	0.1566088219
185	0.1563768157
186	0.156334643
187	0.1563210098
188	0.1563178872
189	0.1562761939
190	0.1560226299
191	0.1557437406
192	0.1556609778
193	0.1555163212
194	0.1553461912
195	0.1553372601
196	0.1551688209
197	0.1550263094
198	0.1550167496
199	0.155016345
200	0.1550106962
201	0.1544563619
202	0.1542938962
203	0.1542920154
